Match;1;Team1;CoC;Score;300;Team2;THotS;Score;252
Name;A;K;D;N;Name;A;K;D;N
Scy;16;14;11;653;ridzu;14;10;12;-121
Guglimugli;16;13;10;202;Bax;13;9;9;-26
TatziTatz;18;3;7;-210;DeadRAT;9;6;13;-949
Match;2;Team1;CoC;Score;270;Team2;THotS;Score;275
Name;A;K;D;N;Name;A;K;D;N
Scy;16;12;14;197;ridzu;14;14;11;422
Guglimugli;14;8;10;-43;Bax;14;13;10;95
TatziTatz;16;5;8;-358;DeadRAT;16;1;12;-812
Match;3;Team1;CoC;Score;300;Team2;THotS;Score;223
Name;A;K;D;N;Name;A;K;D;N
Scy;10;17;7;507;ridzu;11;11;8;-101
Guglimugli;16;10;8;314;Bax;13;6;10;-34
TatziTatz;13;2;7;-207;DeadRAT;10;5;11;-815
