Match;1;Team1;CoC;Score;304;Team2;DE;Score;274
Name;A;K;D;N;Name;A;K;D;N
Scy;16;14;11;455;Ragnor;15;12;12;256
TatziTatz;20;6;8;-407;Toni;15;7;12;-758
Guglimugli;17;13;9;449;Verax;15;7;9;-484
Match;2;Team1;CoC;Score;265;Team2;DE;Score;304
Name;A;K;D;N;Name;A;K;D;N
Scy;16;14;15;352;Ragnor;19;8;12;-418
TatziTatz;17;2;9;-272;Toni;16;8;11;-362
Guglimugli;14;15;9;366;Verax;15;15;9;-19
Match;3;Team1;CoC;Score;237;Team2;DE;Score;304
Name;A;K;D;N;Name;A;K;D;N
Scy;10;17;11;401;Ragnor;18;6;11;-381
TatziTatz;10;1;8;-595;Toni;17;6;10;-480
Guglimugli;15;8;7;478;Verax;8;14;6;248
