Match;1;Team1;DE;Score;303;Team2;dbxxd;Score;269
Name;A;K;D;N;Name;A;K;D;N
Ragnor;21;12;17;-27;muse;23;14;13;144
Toni;17;10;11;-419;cosax;25;11;13;-182
hobo;25;6;11;42;leagman1;23;12;11;-345
Match;1;Team1;DE;Score;208;Team2;dbxxd;Score;300
Name;A;K;D;N;Name;A;K;D;N
Ragnor;14;10;10;-99;muse;14;12;8;-81
Toni;16;2;12;-494;cosax;14;8;7;14
Verax;11;10;10;-277;leagman1;21;9;9;676
Match;1;Team1;DE;Score;242;Team2;dbxxd;Score;302
Name;A;K;D;N;Name;A;K;D;N
Ragnor;14;9;11;-386;muse;22;7;8;183
Toni;16;5;12;-505;cosax;20;8;8;340
Verax;13;10;10;-110;leagman1;15;17;10;186
